# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\worldmap1.png	0	0	255
1	textures\world_map1.png	255	0	255
10	textures\marioworldmap1.png	64	128	0
30	textures\bbox.png	237	28	36
61	textures\misc-6.png	0	224	142
62	textures\BoardInfo.png	173	231	225
170	textures\Goal.png	0	183	239
999	textures\GameOverMenu.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]

#bush
# matrixFilePath	mapHeight	mapWidth	tileHeight	tileWidth	textureId	tilesPerRow	tilesPerColumn
maps\world_map_indexes.txt	144	288	16	16	1	10	5


[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 Environment

0	64	64	0

9999	96	64	999901

8	48	32	999903
8	64	32	999903
8	80	32	999903
8	240	32	999903
8	256	32	999903

8	48	48	999903
8	64	48	999903
8	80	48	999903
8	112	48	999903
8	128	48	999903
8	144	48	999903
8	176	48	999903
8	192	48	999903
8	208	48	999903
8	240	48	999903
8	256	48	999903

8	112	64	999903
8	128	64	999903
8	144	64	999903
8	240	64	999903
8	256	64	999903
8	48	80	999903
8	64	80	999903
8	80	80	999903
8	112	80	999903
8	128	80	999903
8	144	80	999903
8	176	80	999903
8	192	80	999903
8	208	80	999903
8	224	80	999903
8	240	80	999903
8	256	80	999903

8	48	96	999903
8	64	96	999903
8	80	96	999903
8	176	96	999903
8	192	96	999903

8	48	112	999903

8	128	112	999903
8	144	112	999903
8	160	112	999903
8	256	112	999903


8	256	144	999903

8	256	160	999903
8	256	128	999903
8	256	96	999903

8	240	112	999907

[PATH]
maps\world_map1_path.txt

[BOARD]
BOARD	2052
CARDSTACK	2048
POINT	2000
MONEY	2000
TIME	2000
LIVES	2000
WORLDNUM	2000
##WORLDFIELD	2000
PLAYERCHAR	2036
SPEEDBAR	2039
##CLOCK	2038
##DOLLARSIGN	2037
